logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-246778.86952409556,-249740.64453425683,-201642.5878403812,-203282.56246934846
-30773.343950726325,-32144.53630885722,-33421.39841474478,-35247.26218167823
-707.1258241659026,-320.96078475081146,-716.9774524594266,-325.5104116107169
-8132.893515717886,-8088.366518136612,-8255.592782642663,-8212.376560714327
-22118.67715802173,-22069.028429149705,-20232.7216575913,-20047.36160010194
-28587.22208254584,-27470.279083021473,-27109.23589874419,-25924.078447853102
-48949.00780241514,-50364.375267002004,-54140.05427035268,-55850.33681256259
-271598.1257929095,-265492.73960690526,-219929.66626106037,-215345.53850327607
-837.8622634934608,-997.7902282813676,-767.9724541955743,-925.3490875595988
-7653.334555748601,-8158.84633023062,-7033.682239002037,-7485.690865578006
-2102.813835084613,-2732.566832488231,-1838.1487616775091,-2426.3044832746477
-26123.874691131572,-25802.98680832575,-24266.50807705244,-23961.12382099436
-573.811003614224,-694.5898624295667,-548.6200766745419,-677.8507262395902
-66024.30032264568,-63249.47732876629,-73396.14700973689,-69790.35445777251
-11897.340087078632,-13573.059347897053,-12393.127074235634,-14298.282656219888
-477.92810725021354,-663.1443951870053,-436.82123809267534,-612.6850135243988
-75260.17906173338,-81173.72208529158,-66785.68422433417,-71290.22634706245
-197533.85399241713,-202364.96370014577,-164726.3632418753,-167780.8383511721
-124.43835219428144,-466.77695100224355,-131.06302142344333,-401.68254930911496
-248.2266004563021,-392.06636575109206,-180.19072663407582,-398.4294820100639
-22461.22522758848,-22725.142498918027,-23898.287580760003,-24263.73455018014
-9597.233507120485,-9764.197398089616,-9218.820900437746,-9334.864680050468
-34697.59655200959,-30892.479942636885,-31727.172230860044,-28497.48566889493
-96908.09498063165,-97494.84565136285,-111074.215989489,-111980.70467264611
-11185.3863255962,-11966.282703756857,-11782.447367367726,-12614.68243152883
-75086.799264357,-79140.55058985265,-84976.9283577002,-90426.08571085196
-14946.075557067297,-14410.828871162763,-15738.953130995902,-15148.025779939164
-3199.2872227696903,-3634.82557606816,-3338.999422594169,-3725.61506063248
-125844.52774246054,-129847.35706361513,-148946.19125860214,-155113.84005915312
-29017.092159334352,-30317.232376030344,-30331.02130579034,-31923.334220137524
-144395.52068126207,-139799.25854216464,-173205.7959775203,-166291.8464571786
-12927.209263549606,-13672.026411166742,-12244.150895725621,-12909.388075053406
-33954.8413399346,-35581.28337492745,-36033.92487959287,-38004.39143803086
-4052.646840124403,-4301.4335610122935,-4003.420972168048,-4219.920210651341
-11124.36941033451,-10086.23767486146,-10519.935720922816,-9575.23489687711
-23650.46820436193,-22322.097145542324,-24777.300179506638,-23407.633267440164
-91313.29934052606,-89971.55569354263,-105596.16350255335,-103869.46965929301
-27615.2312623343,-29061.40791628124,-24793.108988774184,-25993.07059965021
