logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-54041.562028854125,-51274.180086660905,-40194.48523151568,-38556.26685524719
-20091.10517422627,-18921.43644036351,-26497.41887917747,-24464.645417655403
-53.41301086997353,-232.5532124785351,-45.15263940895345,-215.48866643798755
-27594.08004546881,-27932.128487008427,-21884.576489693118,-22072.39356563068
-375.08332517159334,-405.94654934858556,-365.9317415921109,-395.75042032641824
-12878.994193090051,-13367.590517328257,-15929.188691468291,-16802.085870242383
-64868.60449587562,-71449.10505494992,-47067.04406310866,-50304.29315504601
-503.3894324389899,-730.8097419733497,-480.62720582922293,-727.2591174904107
-11875.73726390834,-13642.377791209197,-10059.621168148382,-11289.948664971183
-95.56894216962274,-296.45209203063774,-102.22811871613203,-301.12059335598354
-19156.231264385333,-18788.5325743471,-24797.269487883135,-24169.573615436053
-51659.168311826026,-49743.77388579399,-38475.553363402476,-37527.34643735872
-456.27149434150346,-481.23316586651595,-443.90278201075614,-466.80859825876485
-27551.858935169086,-27136.528795100065,-38433.8107692829,-37894.41651638078
-4480.986636910642,-4678.878244060409,-5033.181973126086,-5350.429788872549
-5055.838405644442,-4998.997245977432,-5731.911937437825,-5694.089603491412
-16402.33137898308,-16964.23423265527,-20568.140704278987,-21539.14814806446
-3285.307838818036,-3206.545055136885,-3625.073011844966,-3549.1891501813298
-1552.9324482128216,-1728.373858852402,-1651.6299350636853,-1868.6480082312933
-987.2040835620735,-876.1565671159941,-960.9267251128637,-818.513401925459
-1701.287410129899,-1901.0597054048205,-1831.816273750227,-2065.1635522664506
-26152.798955759088,-25119.209108885723,-20798.53615091535,-20199.972700566195
-507.1146603386042,-668.8444643152251,-509.56109125534385,-683.9739867524354
-7413.188529042265,-8249.648059973873,-8729.865897794416,-9953.052177762549
-9452.335167534678,-9706.473175363873,-8282.864138304727,-8470.300780223228
-21167.19493390053,-21391.40043129339,-27659.59297879389,-27878.527615308176
-2861.5578696816847,-2845.36454252751,-3112.844797083432,-3102.7460826454867
-7734.22784490858,-8841.602267205337,-6758.634900254893,-7592.740494288248
-10754.46386599463,-11008.10553161805,-12753.279013165777,-13086.151700769577
-101.94449689785401,-206.06752483396127,-100.63041740066959,-209.18083671695683
-5793.826578913227,-5702.481976250354,-5218.352893169471,-5162.158748811491
-3120.213156889519,-3091.638322806928,-3454.7158308124663,-3423.321038506364
-1616.637525569977,-2111.267176978091,-1717.0716777768405,-2279.645113430598
-1237.8958224577368,-1210.802070973668,-1300.5477055968402,-1279.0854298051938
-6628.415977994689,-7339.3202054899875,-5859.795266951994,-6366.455416888405
-12837.136860772074,-13545.737075367679,-15870.88338548821,-16914.69650498815
-65417.27474110592,-65169.84600802733,-47053.44121298112,-46807.849879287496
-91219.02824000503,-94603.25234645607,-63454.262080697954,-65181.09684027505
-95245.81295737899,-93836.75859013801,-65575.65999047871,-64319.66138675974
-8875.406305241007,-9435.094572876164,-10530.587793808572,-11402.680533933832
-245.27206842162622,-281.48479105296224,-264.7543244361729,-304.5854347738064
-2555.049699738426,-2595.3624419587854,-2768.962708138415,-2836.9232831005934
-11705.096695985292,-12054.036460533594,-10007.639946941958,-10199.545366010301
-3887.155887348265,-4117.87715690556,-3555.6616935325246,-3764.6080967716903
-10890.155998967783,-11118.592095769107,-13082.728360895338,-13291.285642880746
-107195.79009215516,-106027.49903256173,-72555.3751029279,-72355.03174807367
-840.6341078794571,-856.7549032962868,-873.4802856193785,-896.1493605106954
-4323.023615437593,-4414.03845222561,-3873.7845194840397,-3953.7592211144706
-3939.4903004794246,-3697.255323017555,-4403.502926709083,-4132.724148179943
-4964.104462101243,-4397.62999541089,-4472.270654685437,-4011.1869856268527
-1236.7822278333617,-1087.3276715855477,-1311.6548166575471,-1145.9433238818797
-18104.330535827212,-17459.44976190326,-23271.925947640088,-22315.35005407822
-2294.4916923357614,-2439.5278677209776,-2467.6306858011194,-2623.1252826884106
-895.856550238851,-988.248751523235,-833.4592628257828,-911.0647359038528
-24221.958285062392,-25769.90843243979,-19539.952859464112,-20486.497042860447
-64563.641172161515,-65082.64003572094,-47114.490985702585,-47343.64970738166
-573.433866089751,-666.086681028891,-522.1190479983942,-610.4562294442226
-1283.1120222379823,-1206.0310889480177,-1177.879373214769,-1108.3066612993314
-5768.893121367361,-5600.934688407032,-6588.131341718934,-6348.561643515519
-2719.7956977500385,-2753.3034942750737,-2495.7047232858226,-2500.9994825454396
-9164.30070484889,-9127.599099877847,-8051.492115403052,-8034.513491795944
-25322.706299483998,-25764.448182651147,-34427.760060096305,-35080.317279868854
-1299.7738537644282,-1369.1014344955927,-1328.5540902787059,-1408.4707410973222
-20557.1835517787,-21361.049850880638,-27201.288806026463,-28963.343929506234
-2903.435340669431,-2823.2330984497517,-3182.6788745217805,-3102.945780608762
-66.23329698803109,-206.12823871921728,-78.2432550948687,-221.45316909739554
-27230.44284336947,-27452.400850630274,-37424.182039310515,-38349.053227851466
-10827.529404403236,-11220.255116790715,-12931.100892705219,-13574.526203345797
-28458.52258125657,-27563.766177393984,-39929.41130865288,-38583.174077887335
-1261.5515762400835,-1203.8259401913176,-1223.4764586088932,-1172.7499904851693
-12651.556813327059,-12777.987766077926,-15520.339711440623,-15754.531750674405
-717.1460355927969,-763.7901102693063,-680.2547725526829,-729.4088475279317
-2301.4791618700115,-2351.3738497942677,-2172.264596808237,-2221.9278451652212
-7992.393564000875,-8085.253770199175,-9383.392310531224,-9473.318897053028
-20636.06967135637,-19214.36735312438,-27410.954954081273,-24943.45491364174
-16093.105894449614,-15894.253162261539,-13235.274692296764,-13057.318862018697
-10377.274923313698,-10974.397445253608,-8896.239691412777,-9296.27718577414
-21707.82996019995,-22936.67235572145,-17691.115687325768,-18565.543917121337
-20705.650631463162,-20030.27954747608,-17101.908683885264,-16623.308291103414
-3304.600982396417,-3845.890081323386,-3033.9327709301333,-3478.1561787826276
-14.87823650422893,-119.95295987721505,-14.268340128584786,-123.6357681401976
-4393.428395997273,-4304.179072970053,-4959.689857882812,-4853.295387063178
-15475.012624382558,-15558.18746883059,-19534.495361402027,-20031.23588695225
-2506.234842875019,-2781.395020242192,-2297.4389499013278,-2535.177720522814
-620.1840308832079,-1117.3948393945707,-644.9879659604755,-1194.5706047270348
-37746.15675314505,-37419.57415409989,-57015.22656507799,-56158.41758303899
-8160.330277085597,-7897.8522065792995,-9451.7892778817,-9008.890472804209
-16109.033589271887,-16128.555029139086,-13383.414117325035,-13336.954577222314
-54.41246465411039,-61.57272586848465,-45.62144779968997,-57.85544823029191
-2620.1452007275375,-2603.7703425456425,-2884.6285390301036,-2904.1013596460834
-16787.170203608875,-16591.418673428518,-21082.696122499565,-20920.561601701553
-1607.2459642760552,-1853.9512522552661,-1707.5380490223642,-2004.6709372536648
-17664.039764769474,-18302.162447230585,-14726.794914249236,-15235.2564608932
-57.682918576865134,-124.44108694899116,-61.721934391276854,-129.10390030880845
-1133.2126438153134,-1686.122269595514,-1081.9145402381673,-1567.468530666965
-65752.79771969042,-66777.91173932802,-47753.641650418744,-48262.245153264455
-1717.0689620345943,-1767.9437108548027,-1579.5806100150942,-1640.4063807722816
-24838.144828833418,-23990.139018111346,-33932.61125330307,-32187.207338258435
-21134.84475150748,-22091.994489725883,-27926.047602184473,-29508.426755213713
-18063.69846391684,-17466.219975934593,-15101.298106280332,-14859.767276290735
-7724.3733252744905,-7865.068776023445,-6878.494732349556,-6934.732183717505
-26662.464031742806,-26216.742186836735,-36970.07932832102,-35742.96963039756
-13201.69065893357,-12732.054179817162,-16275.42797293011,-15429.273754624444
-18.842240423587118,-100.83240425630925,-11.15111522326001,-98.89871159630985
-458.44470510354836,-639.7424737442628,-432.00033480925947,-634.7286868560873
-12227.947528841489,-11686.728640800979,-14896.348320164314,-14064.918881005002
-4334.507229398891,-4251.579758795513,-4835.844951558433,-4733.05448881031
-9568.257259217658,-10364.870689036998,-11399.334124104462,-12559.751356118762
-1633.7622760867857,-1732.0709744058772,-1567.2725351104277,-1629.8401362323716
-6161.144070815165,-5965.467043444303,-6995.2977205256175,-6771.806203301327
-64.71899784347481,-186.75232012169,-68.46578757725115,-188.306531864155
-17513.286857932322,-17044.978589390197,-14634.516651420568,-14379.169457696555
-34108.475518097686,-34359.83317936599,-27023.40054916086,-27000.826790523166
-2910.9035477916736,-3374.774320080253,-2654.934238214839,-3021.6695605971713
-1533.720777283954,-1874.109142940049,-1652.913912136245,-2048.5043483748796
-9365.397831973534,-9295.29510744163,-8101.519496450162,-8038.676375379254
-20071.64959245812,-19260.233804408814,-26251.743137399484,-24839.652039557328
-28133.528848392518,-26841.707171652233,-22266.32097868764,-21319.334575290177
-15083.492001882349,-14831.927901269148,-18949.19208715513,-18623.834743292395
-13657.703693794956,-15211.697644725218,-11395.376299609272,-12413.74365588092
-20889.623598599974,-20576.506945203455,-27397.966940467923,-26919.269695990723
-42083.377458940726,-46435.566129182254,-32345.189981174408,-34715.07993371209
-12058.520754528467,-13681.541026957413,-10171.812051582405,-11290.33237151117
-3971.034224661316,-4149.958072788036,-4402.987926647759,-4639.048528152146
-7382.8773674850345,-6730.6434047096955,-6469.540513526228,-5943.228798396192
-6118.02520416213,-7219.9387651682455,-7022.525296821038,-8514.263523327907
-1532.3838398187936,-2139.7308252991384,-1411.52850116541,-1938.3402959308357
-1907.5270126229334,-1628.1695926540865,-1808.3591359714324,-1561.4043136146463
-23268.37511410344,-23194.661536059597,-31341.69767199466,-31246.108548873868
-19426.734823741328,-19761.986242439325,-25297.24125237776,-25663.998940110057
